"","count","countZero","countNotNA","countNA","completeness","min","max","mean","sd","median","p5th","p30th","p50th","p90th","p95th","q1","q2","q3"
<<<<<<< HEAD
"1",374304,0,374280,24,0.999935880995127,0.01,8.27,0.0561541599871754,0.11407146990792,0.037,0.017,0.027,0.037,0.097,0.14,0.025,0.037,0.057
=======
"1",374152,0,336742,37410,0.900013898094892,0.0544851198590974,23.5437215217708,0.121055824364064,0.286386940702543,0.0915399393188345,0.0692596427566905,0.0846188259186797,0.0915399393188345,0.133933869995599,0.167979127821667,0.0825014076638381,0.0915399393188345,0.107404774601383
>>>>>>> b36d70650908aeef743a1ac565eb52b65b1d47bd
