"","count","countZero","countNotNA","countNA","completeness","min","max","mean","sd","median","p5th","p30th","p50th","p90th","p95th","q1","q2","q3"
<<<<<<< HEAD
"1",374304,267033,363735,10569,0.971763593229033,0,37.8777186075846,0.112165883518828,0.577924378493062,0,0,0,0,0.132146434485914,0.576559541126092,0,0,0.000220935597705344
=======
"1",374152,277363,373499,653,0.998254720006842,0,47.2209821428571,0.109395922831059,0.547194096241735,0,0,0,0,0.12797619047619,0.566631743808586,0,0,0.000744047619047619
>>>>>>> b36d70650908aeef743a1ac565eb52b65b1d47bd
